Time,ParticipantID,DatasetID,TechniqueID,RepetitionID,mapPosx,mapPosy,mapPosz,mapRotaionx,mapRotationy,mapRotationz,markerHandPosx,markerHandPosy,markerHandPosz,reletivePosx,reletivePosy,reletivePosz,Lable
0,16,3,3,1,0.6877531,0.9005387,0.4074331,277.0635,287.9932,32.32301,0.780002,0.7940169,0.3253937,1.297894,12.84011,-13.93165,Start
0.0002441406,16,3,3,1,0.6877531,0.9005387,0.4074331,277.0635,287.9932,32.32301,0.780002,0.7940169,0.3253937,1.297894,12.84011,-13.93165,Nothing
0.007141113,16,3,3,1,0.6840768,0.8961006,0.4089038,275.1343,283.9955,34.86293,0.7778788,0.794983,0.322524,0.9760761,13.85633,-12.89601,Nothing
0.01998901,16,3,3,1,0.6847814,0.8964684,0.4072838,274.9318,281.6405,37.55221,0.7776715,0.7951241,0.3221074,1.058814,13.73746,-12.8426,Nothing
0.03546143,16,3,3,1,0.6863847,0.8949694,0.4057687,275.0682,289.1782,30.77943,0.7783851,0.7950883,0.3223642,1.40109,13.40254,-12.76333,Nothing
0.04312134,16,3,3,1,0.6870692,0.8944143,0.4054945,275.3217,293.2662,27.03339,0.7783932,0.7950763,0.3222856,1.478677,13.24238,-12.78106,Nothing
0.05273438,16,3,3,1,0.6892278,0.8931764,0.4027428,275.6169,300.0648,21.47308,0.7785122,0.7951817,0.322158,1.871655,12.7162,-12.6994,Nothing
0.05993652,16,3,3,1,0.6910042,0.8934273,0.4002039,275.8112,301.9535,20.58274,0.7786175,0.7953432,0.321832,2.116319,12.30407,-12.73056,Nothing
0.06811523,16,3,3,1,0.6899908,0.8954336,0.4005618,275.7212,295.748,26.46001,0.7786716,0.7953492,0.3218766,1.998842,12.47161,-12.92273,Nothing
0.07641602,16,3,3,1,0.6892563,0.8985734,0.3994061,275.6721,286.1171,36.12259,0.7789609,0.795505,0.3218631,1.993712,12.52963,-13.18508,Nothing
0.08453369,16,3,3,1,0.6877758,0.9001622,0.3999891,275.6819,279.4391,42.23141,0.7789502,0.795489,0.3218142,1.832606,12.7907,-13.316,Nothing
0.09341431,16,3,3,1,0.686277,0.9044018,0.3988877,276.0739,267.531,53.87697,0.7789145,0.7955433,0.3220237,1.718133,12.90178,-13.70699,Nothing
0.1015015,16,3,3,1,0.6858562,0.9050566,0.3978313,276.2376,266.4966,54.97852,0.7789128,0.7955303,0.3219795,1.791708,12.83156,-13.79739,Nothing
0.1099548,16,3,3,1,0.6851866,0.9086213,0.3954597,276.7769,258.6891,62.96612,0.7791913,0.7956419,0.3220659,1.844234,12.76192,-14.13546,Nothing
0.1183167,16,3,3,1,0.6857497,0.9083019,0.3952608,276.7579,262.1301,59.69913,0.7791634,0.7956014,0.3222439,1.906439,12.59633,-14.16586,Nothing
0.1271667,16,3,3,1,0.6863551,0.9104683,0.3921298,277.2075,261.8759,60.69609,0.7794577,0.7957208,0.3223936,2.146461,12.1823,-14.46147,Nothing
0.1364136,16,3,3,1,0.6880164,0.9090707,0.3908131,277.0091,266.1123,57.20459,0.779474,0.7958367,0.3224037,2.366404,11.84026,-14.32037,Nothing
